id,channel_name,channel_type,locale,utm_source,utm_medium,utm_campaign,utm_content,target_url,anchor_text,publish_title,publish_angle,due_date,status
CH-001,Google Business Profile,map_profile,en,google,organic_profile,offsite-seeding-2026q1,gbp-profile,https://kn-wallpaperglue.com/en/contact?utm_source=google&utm_medium=organic_profile&utm_campaign=offsite-seeding-2026q1&utm_content=gbp-profile,Wallpaper adhesive supplier contact,Factory profile update with contact CTA,"Update profile description, products, and add UTM website link.",2026-03-02,pending
CH-002,Bing Places,map_profile,en,bing,organic_profile,offsite-seeding-2026q1,bing-places-profile,https://kn-wallpaperglue.com/en/contact?utm_source=bing&utm_medium=organic_profile&utm_campaign=offsite-seeding-2026q1&utm_content=bing-places-profile,Carboxymethyl starch factory contact,Bing listing profile and product section update,Use primary category and insert tracked website link.,2026-03-03,pending
CH-003,Yandex Business,map_profile,ru,yandex,organic_profile,offsite-seeding-2026q1,yandex-business-profile,https://kn-wallpaperglue.com/ru/contact?utm_source=yandex&utm_medium=organic_profile&utm_campaign=offsite-seeding-2026q1&utm_content=yandex-business-profile,OEM adhesive manufacturer contact,Yandex business listing and service highlights,Upload real factory images and add tracked URL.,2026-03-04,pending
CH-004,LinkedIn Company Page,social,en,linkedin,organic_post,offsite-seeding-2026q1,linkedin-oem-post,https://kn-wallpaperglue.com/en/oem?utm_source=linkedin&utm_medium=organic_post&utm_campaign=offsite-seeding-2026q1&utm_content=linkedin-oem-post,OEM wallpaper adhesive manufacturer,OEM wallpaper adhesive manufacturing capability,Post factory workflow and quality control process.,2026-03-05,pending
CH-005,Facebook Page,social,en,facebook,organic_post,offsite-seeding-2026q1,facebook-product-post,https://kn-wallpaperglue.com/en/products/wallpaper-adhesive?utm_source=facebook&utm_medium=organic_post&utm_campaign=offsite-seeding-2026q1&utm_content=facebook-product-post,Wallpaper adhesive powder supplier,Wallpaper adhesive powder product spotlight,Share product use cases and packaging options.,2026-03-06,pending
CH-006,YouTube Channel,social,en,youtube,organic_video,offsite-seeding-2026q1,youtube-factory-video,https://kn-wallpaperglue.com/en/oem?utm_source=youtube&utm_medium=organic_video&utm_campaign=offsite-seeding-2026q1&utm_content=youtube-factory-video,Factory direct OEM adhesive powder,Factory floor short: OEM adhesive packaging,Publish short video and pin tracked URL in description.,2026-03-07,pending
CH-007,Quora Space,social,en,quora,organic_answer,offsite-seeding-2026q1,quora-guide-answer,https://kn-wallpaperglue.com/en/blog/eco-friendly-wallpaper-glue-guide?utm_source=quora&utm_medium=organic_answer&utm_campaign=offsite-seeding-2026q1&utm_content=quora-guide-answer,Eco friendly wallpaper glue guide,Answer: how to choose wallpaper adhesive supplier,Answer buyer intent question and link to guide.,2026-03-08,pending
CH-008,Medium Publication,social,en,medium,organic_article,offsite-seeding-2026q1,medium-industry-article,https://kn-wallpaperglue.com/en/blog?utm_source=medium&utm_medium=organic_article&utm_campaign=offsite-seeding-2026q1&utm_content=medium-industry-article,Industrial starch application articles,Industrial starch uses in construction and textile,Republish summary with canonical link to site blog.,2026-03-02,pending
CH-009,Alibaba Supplier Profile,b2b_directory,en,alibaba,directory_listing,offsite-seeding-2026q1,alibaba-company-profile,https://kn-wallpaperglue.com/en/oem?utm_source=alibaba&utm_medium=directory_listing&utm_campaign=offsite-seeding-2026q1&utm_content=alibaba-company-profile,OEM adhesive powder factory,Supplier profile completion and product links,"Update certifications, OEM terms, and tracked website link.",2026-03-03,pending
CH-010,Made-in-China Profile,b2b_directory,en,made_in_china,directory_listing,offsite-seeding-2026q1,madeinchina-products,https://kn-wallpaperglue.com/en/products?utm_source=made_in_china&utm_medium=directory_listing&utm_campaign=offsite-seeding-2026q1&utm_content=madeinchina-products,Carboxymethyl starch product catalog,Product catalog refresh and company profile,Fill all product specs and add tracked landing URL.,2026-03-04,pending
